G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,RECONEC_CODE,TIPO_RED,TENSION,FASES,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,UBICACION_,FECHA_ACTU,MUNICIPIO_CODE,SUBREGION
14065656,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R1230,PRIMARIA,7.621,S,7.8956100000000005,-76.61527,2017-07-10,2020-06-09,RURAL,47688326,57826226,14065656-5,2018-04-16,5045,APARTADO
14065668,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,R1336,PRIMARIA,7.621,R,8.214160000000001,-76.51151,2017-07-10,2020-06-09,RURAL,57987937,57987938,14065668-5,2018-04-10,5837,TURBO
14088489,ARBOLETES,ARBOLETES,409-11,409-11,CLOSED,R1334,PRIMARIA,7.621,R,8.83947,-76.40997,2017-08-01,2020-06-09,RURAL,57831058,57831059,14088489-5,2018-04-09,5051,TURBO
14089839,APARTADÓ,APARTADO,401-16,401-16,CLOSED,R1370,PRIMARIA,13.2,STR,7.874560000000001,-76.63504,2017-08-03,2020-06-09,URBANO,57831474,57831475,14089839-5,2018-04-10,5045,APARTADO
14095226,CHIGORODÓ,CHIGORODO,403-14,403-14,CLOSED,R1367,PRIMARIA,7.621,S,7.69383,-76.67425,2017-08-17,2020-06-09,RURAL,47635521,57845575,14095226-5,2018-04-11,5172,APARTADO
14095300,NECOCLÍ,NECOCLI,415-11,415-11,CLOSED,R1368,PRIMARIA,7.621,T,8.496789999999999,-76.80660999999999,2017-08-17,2020-06-09,RURAL,57409303,57439851,14095300-5,2018-04-13,5490,TURBO
14104511,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,R1396,PRIMARIA,7.621,R,8.21411,-76.51145,2017-09-11,2020-06-09,RURAL,57987945,57987947,14104511-5,2019-04-04,5837,TURBO
14106296,ARBOLETES,S.PEDRO URABA,407-41,407-41,CLOSED,R1393,SUBTRANSMISION,44.0,TSR,8.6862,-76.42246999999999,2017-09-13,2019-12-27,RURAL,57837122,57837123,6001358-5,2018-03-01,5051,TURBO
14106437,CAREPA,CAREPA,412-14,412-14,CLOSED,R1425,PRIMARIA,7.621,S,7.76435,-76.51433,2017-09-13,2020-06-09,RURAL,57195961,57512184,14106437-5,2018-03-24,5147,APARTADO
14113305,CHIGORODÓ,CHIGORODO,403-11,403-11,CLOSED,R1424,PRIMARIA,13.2,TSR,7.6708,-76.68366999999999,2017-09-27,2019-12-27,URBANO,57839426,57839432,14113305-5,2018-02-19,5172,APARTADO
14113937,TURBO,TURBO,402-14,402-14,CLOSED,R1395,PRIMARIA,13.2,TSR,8.09592,-76.72868000000001,2017-09-29,2020-06-09,URBANO,57839638,57839640,14113937-5,2018-04-16,5837,TURBO
14124784,CAREPA,APARTADO,401-42,401-42,CLOSED,R1471,SUBTRANSMISION,44.0,TSR,7.791910000000001,-76.6529,2017-10-23,2019-12-27,RURAL,57844369,57844370,6001369-5,2018-04-12,5147,APARTADO
14126637,CAREPA,APARTADO,401-41,401-41,CLOSED,R1422,SUBTRANSMISION,44.0,TSR,7.78107,-76.65552,2017-10-27,2019-12-27,RURAL,57843283,57843285,6001372-5,2018-04-10,5147,APARTADO
14139461,CAREPA,APARTADO,401-41,401-42,OPEN,R1423,SUBTRANSMISION,44.0,RST,7.77699,-76.65602,2017-11-09,2019-12-27,RURAL,57844062,57987704,6001372-5,2018-04-10,5147,APARTADO
14154739,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-11,407-11,CLOSED,R1295,PRIMARIA,13.2,RST,8.28761,-76.38977,2017-12-07,2019-12-27,URBANO,53153845,57873163,13094487-5,2018-04-16,5665,TURBO
14154740,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R1296,PRIMARIA,13.2,RST,8.2876,-76.38976,2017-12-07,2019-12-27,URBANO,57241260,57241262,13094604-5,2018-04-16,5665,TURBO
14154743,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-13,407-13,CLOSED,R1297,PRIMARIA,13.2,SRT,8.28753,-76.38983,2017-12-07,2019-12-27,URBANO,51147396,47674544,13092809-5,2018-04-11,5665,TURBO
14155968,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-41,407-41,CLOSED,R1294,SUBTRANSMISION,44.0,TSR,8.28761,-76.38998000000001,2017-12-12,2019-12-27,URBANO,57750757,57678653,6001358-5,2018-03-01,5665,TURBO
14157636,TURBO,URABA,411-44,411-44,CLOSED,R1394,SUBTRANSMISION,44.0,RST,8.20825,-76.52176,2017-12-18,2019-12-27,RURAL,57832545,57832567,6001333-5,2017-12-19,5837,TURBO
14200381,ARBOLETES,LA ATOYOSA,414-13,414-13,CLOSED,R1270,PRIMARIA,13.2,RST,8.69485,-76.42432,2018-03-06,2020-06-09,RURAL,57253477,57868661,14200381-5,2018-10-06,5051,TURBO
14235796,APARTADÓ,CAREPA,412-13,412-13,CLOSED,R1512,PRIMARIA,13.2,ST,7.800839999999999,-76.63956,2018-05-29,2020-06-09,RURAL,57881887,57881890,14235796-5,2018-05-30,5045,APARTADO
14262511,ARBOLETES,S.PEDRO URABA,407-12,414-12,OPEN,R1502,PRIMARIA,13.2,RS,8.54462,-76.37618,2018-07-19,2020-01-01,RURAL,57635946,57844841,13491388-5,2018-07-20,5051,TURBO
14263507,APARTADÓ,APARTADO,401-16,401-16,CLOSED,R1087,PRIMARIA,13.2,RTS,7.84615,-76.64492,2018-07-24,2020-06-09,RURAL,58010913,58010932,12496279-5,2018-07-25,5045,APARTADO
14272467,TURBO,URABA,411-43,411-43,CLOSED,R1472,SUBTRANSMISION,44.0,RST,8.19759,-76.74481,2018-08-09,2019-12-27,RURAL,57801336,57801337,6001334-5,2018-08-10,5837,TURBO
14272734,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,R1511,PRIMARIA,13.2,RST,8.427010000000001,-76.78242,2018-08-10,2019-11-18,URBANO,53144984,57493394,13094793-5,2018-08-13,5490,TURBO
14272740,NECOCLÍ,NECOCLI,415-11,415-11,CLOSED,R1509,PRIMARIA,13.2,RST,8.427019999999999,-76.7824,2018-08-10,2019-11-18,URBANO,57296035,57493405,13094813-5,2018-08-13,5490,TURBO
14272745,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,R1510,PRIMARIA,13.2,RST,8.427010000000001,-76.78238,2018-08-10,2020-04-20,URBANO,70747764,57199084,13094722-5,2018-08-13,5490,TURBO
14282466,TURBO,NUEVA COLONIA,406-12,406-12,CLOSED,R1534,PRIMARIA,13.2,RST,7.93332,-76.71592,2018-09-06,2020-06-09,RURAL,57378993,57911372,14282466-5,2018-09-07,5837,TURBO
14288766,ARBOLETES,LA ATOYOSA,414-13,414-13,CLOSED,R793,PRIMARIA,13.2,RST,8.6859,-76.42267,2018-09-24,2020-05-27,RURAL,57901322,57902882,14288766-5,2018-09-25,5051,TURBO
14296563,ARBOLETES,LA ATOYOSA,414-12,414-12,CLOSED,R1089,PRIMARIA,13.2,TR,8.624239999999999,-76.3737,2018-10-09,2020-06-09,RURAL,57915497,57915500,14296563-5,2018-10-10,5051,TURBO
14296910,TURBO,NUEVA COLONIA,406-11,406-11,CLOSED,R1552,PRIMARIA,13.2,TSR,7.93819,-76.67444,2018-10-10,2020-06-09,RURAL,57915484,57915485,14296910-5,2018-10-10,5837,TURBO
14362743,TURBO,URABA,411-13,411-13,CLOSED,R1245,PRIMARIA,13.2,RST,8.08336,-76.66441999999999,2019-02-07,2020-01-15,RURAL,57351828,57351835,13098903-5,2019-02-07,5837,TURBO
14366423,ARBOLETES,LA ATOYOSA,414-12,414-12,CLOSED,R1500,PRIMARIA,13.2,TR,8.63374,-76.36985,2019-02-14,2020-06-09,RURAL,57929059,57929060,14366423-5,2019-02-14,5051,TURBO
14379743,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R1504,PRIMARIA,13.2,RS,8.39471,-76.31952,2019-03-07,2020-06-09,RURAL,57933550,57933551,14379743-5,2019-03-07,5665,TURBO
14410934,TURBO,URABA,411-12,411-12,CLOSED,R2733,PRIMARIA,13.2,TSR,7.996910000000001,-76.63815,2019-05-08,2020-06-09,RURAL,57945664,57945666,14410934-5,2019-05-08,5837,TURBO
14414432,APARTADÓ,APARTADO,401-12,401-12,CLOSED,R2765,PRIMARIA,13.2,RST,7.88393,-76.62215,2019-05-13,2020-06-09,URBANO,57946848,57946829,14414432-5,2019-05-13,5045,APARTADO
14432311,CAREPA,ZUNGO,405-13,405-13,CLOSED,R204,PRIMARIA,13.2,RST,7.78291,-76.75201,2019-06-17,2020-06-09,RURAL,57953336,57953341,14432311-5,2019-06-17,5147,APARTADO
14434464,TURBO,TURBO,402-12,402-12,CLOSED,R2680,PRIMARIA,7.621,S,8.10979,-76.73383000000001,2019-06-20,2020-06-09,RURAL,57953980,57953978,14434464-5,2019-06-20,5837,TURBO
14434715,CAREPA,ZUNGO,405-11,405-11,CLOSED,R2749,PRIMARIA,13.2,RST,7.8232,-76.72223000000001,2019-06-20,2020-06-09,RURAL,57954059,57954066,14434715-5,2019-06-20,5147,APARTADO
14434949,TURBO,TURBO,402-13,402-13,CLOSED,R2693,PRIMARIA,13.2,RST,8.130469999999999,-76.70313,2019-06-20,2020-06-09,RURAL,57954134,57954136,14434949-5,2019-06-20,5837,TURBO
14437322,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R2637,PRIMARIA,7.621,T,7.86724,-76.60509,2019-06-26,2020-06-09,RURAL,57955006,57955008,14437322-5,2019-06-26,5045,APARTADO
