G3E_FID,MUNICIPIO,COMUNA,BARRIO,VEREDA,UBICACION,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CODIGO,TIPO_RED,TENSION,FASES,CAPACIDAD_,NRO_OPERAC,MODELO,VALORES_PL,CORRIENTE1,CURVAS_OPE,NRO_DISP_C,NRO_DISP_1,COMUNICACI,BIDIRECCIO,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,JOB_COLOCA,DIRECCION,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,MUNICIPIO_,SUBREGION
13182209,ARBOLETES,,,ATOYOSA,,LA ATOYOSA,414-13,414-13,CLOSED,R973,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13182209,741832.249,1453301.337,,8.69479,-76.42459,10/1/2013,6/9/2020,REQ90759_GEADE,,RURAL,57901548,57901550,CLOSED,PRIMARIA,LA ATOYOSA,414-13,13.2,RST,13182209-5,10/6/2018,5051,TURBO
13222891,ARBOLETES,,,ATOYOSA,,LA ATOYOSA,414-11,414-11,CLOSED,R481,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13222891,,,,8.68595,-76.42242,12/23/2013,6/9/2020,WO#356,,RURAL,57544389,57544390,CLOSED,PRIMARIA,LA ATOYOSA,414-11,13.2,RST,13222891-5,4/16/2018,5051,TURBO
13432844,SAN PEDRO DE URABÁ,,,SANTA CATALINA,,S.PEDRO URABA,407-12,407-12,CLOSED,R1068,PRIMARIA,7.621,R,,0,,,,,,,,,13432844,,,,8.38827,-76.31875,1/5/2015,6/9/2020,TP42491,,RURAL,58010664,58010665,CLOSED,PRIMARIA,S.PEDRO URABA,407-12,7.621,R,13432844-5,4/16/2018,5665,TURBO
13432878,ARBOLETES,,,EL GUADUAL,,S.PEDRO URABA,407-12,407-12,CLOSED,R1069,PRIMARIA,7.621,R,,0,,,,,,,,,13432878,,,,8.48819,-76.3787,1/5/2015,6/9/2020,TP42485,,RURAL,58010688,58010690,CLOSED,PRIMARIA,S.PEDRO URABA,407-12,7.621,R,13432878-5,4/16/2018,5051,TURBO
13432907,SAN PEDRO DE URABÁ,,,CABECERA MUNICIPAL-VEREDA,,S.PEDRO URABA,407-12,407-12,CLOSED,R1070,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13432907,,,,8.2855,-76.37508,1/5/2015,6/9/2020,TP42483,,RURAL,58001752,58001753,CLOSED,PRIMARIA,S.PEDRO URABA,407-12,13.2,TSR,13432907-5,4/16/2018,5665,TURBO
13450541,CAREPA,,,CASA VERDE,,CAREPA,412-13,412-13,CLOSED,R1052,PRIMARIA,13.2,SRT,630,0,EPR,,,,,,,NO,13450541,,,,7.78646,-76.6544,2/6/2015,12/27/2019,1-feb,,RURAL,57143452,57621638,CLOSED,PRIMARIA,CAREPA,412-13,13.2,SRT,13450541-5,4/10/2018,5147,APARTADO
13485112,ARBOLETES,,,ATOYOSA,,LA ATOYOSA,414-12,414-12,CLOSED,R1088,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13485112,,,,8.68575,-76.42266,3/19/2015,12/27/2019,MARZO 3-2015,,RURAL,57901327,57901326,CLOSED,PRIMARIA,LA ATOYOSA,414-12,13.2,RST,13485112-5,4/10/2018,5051,TURBO
13490974,NECOCLÍ,,,BOTIJUELA,,NECOCLI,415-13,415-13,CLOSED,R1077,PRIMARIA,13.2,TSR,630,0,EPR,,,,,,,NO,13490974,,,,8.49785,-76.71488,3/31/2015,4/2/2020,TP_45441,,RURAL,47643963,58678269,CLOSED,PRIMARIA,NECOCLI,415-13,13.2,TSR,13490974-5,4/13/2018,5490,TURBO
13491305,ARBOLETES,,,,,LA ATOYOSA,414-11,414-11,CLOSED,R1086,PRIMARIA,7.621,T,,0,,,,,,,,,13491305,,,,8.62723,-76.51123,4/6/2015,6/9/2020,ABRIL 1-2015,,RURAL,57635587,57635589,CLOSED,PRIMARIA,LA ATOYOSA,414-11,7.621,T,13491305-5,4/16/2018,5051,TURBO
13508146,SAN JUAN DE URABÁ,,,SAN JUANCITO,,LA ATOYOSA,414-13,409-12,OPEN,R1090,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13508146,,,,8.71909,-76.50229,4/29/2015,12/27/2019,ABRIL 5-2015,,RURAL,57452594,57494822,CLOSED,PRIMARIA,LA ATOYOSA,414-13,13.2,RST,13508146-5,10/17/2018,5659,TURBO
13516936,ARBOLETES,,,EL CAUCHO,,LA ATOYOSA,414-11,414-11,CLOSED,R1078,PRIMARIA,13.2,RST,630,0,EPR,,,,,,,NO,13516936,,,,8.60626,-76.51028,5/15/2015,6/9/2020,MAYO 2-2015,,RURAL,58010784,58010786,CLOSED,PRIMARIA,LA ATOYOSA,414-11,13.2,RST,13516936-5,4/16/2018,5051,TURBO
13566830,SAN JUAN DE URABÁ,,,PUEBLITO,,ARBOLETES,409-12,409-12,CLOSED,R1271,PRIMARIA,13.2,ST,630,0,U27-12,,,,,,,NO,13566830,,,,8.74518,-76.5822,8/12/2015,6/9/2020,AGOSTO 2-2015,,RURAL,57944676,57944677,CLOSED,PRIMARIA,ARBOLETES,409-12,13.2,ST,13566830-5,4/13/2018,5659,TURBO
13905548,TURBO,,,LA LEONA,,CHIGORODO,403-16,403-16,CLOSED,R1194,PRIMARIA,13.2,RST,,0,,,,,,,,,13905548,,,,7.57153,-76.71696,11/16/2016,3/10/2020,WO#555,,RURAL,57676819,57642370,CLOSED,PRIMARIA,CHIGORODO,403-16,13.2,RST,13905548-5,4/16/2018,5837,APARTADO
13905573,TURBO,,,LA LEONA,,CHIGORODO,403-16,403-16,CLOSED,R1193,PRIMARIA,13.2,SR,,0,,,,,,,,,13905573,,,,7.57156,-76.7171,11/16/2016,6/9/2020,WO#555,,RURAL,57396032,57642368,CLOSED,PRIMARIA,CHIGORODO,403-16,13.2,SR,13905573-5,4/16/2018,5837,APARTADO
13912002,CHIGORODÓ,,,LAS MERCEDES,,CAUCHERAS,404-12,403-16,OPEN,R1192,PRIMARIA,13.2,TSR,,0,,,,,,,,,13912002,,,,7.54816,-76.61153,11/23/2016,12/27/2019,WO#571,,RURAL,57648604,57648863,CLOSED,PRIMARIA,CAUCHERAS,404-12,13.2,TSR,13912002-5,4/16/2018,5172,APARTADO
13912695,TURBO,,,BOCA LIMON,,URABA,411-11,411-11,CLOSED,R1191,PRIMARIA,7.621,S,,0,,,,,,,,,13912695,,,,8.03219,-76.51486,11/24/2016,6/9/2020,WO#571,,RURAL,57571050,57571051,CLOSED,PRIMARIA,URABA,411-11,7.621,S,13912695-5,4/16/2018,5837,TURBO
