G3E_FID,MERCADO,DEPARTAMEN,MUNICIPIO,COMUNA,BARRIO,CORREGIMIE,LOCALIZACI,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,TIPO_AISLA,TIPO_RED,TENSION,FASES,CAPACIDAD_,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,NUMERO_FAS,MUNICIPIO_,SUBREGION
4115975,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,10,4115975,725651.123,1363976.766,,7.88012,-76.56459,12/6/2007,7/7/2018,RURAL,47632884,51141354,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115975-5,4/16/2018,1F,5045,APARTADO
4115978,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,DE REPETICION,PRIMARIA,7.621,T,25,4115978,725993,1364392.68,,7.8839,-76.56151,12/6/2007,7/7/2018,RURAL,47632890,51141368,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115978-5,4/16/2018,1F,5045,APARTADO
4115982,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RTS,80,4115982,720470.176,1363940.436,,7.87951,-76.61152,12/6/2007,7/7/2018,URBANO,47632711,51143566,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RTS,4115982-5,4/16/2018,3F,5045,APARTADO
4115984,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,40,4115984,720385.607,1363680.176,,7.87717,-76.61226,12/6/2007,7/7/2018,URBANO,47632695,51143561,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4115984-5,4/16/2018,1F,5045,APARTADO
4115987,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,STR,65,4115987,720624.581,1363921.659,,7.87938,-76.61015,12/6/2007,7/7/2018,URBANO,51141523,51141524,CLOSED,PRIMARIA,APARTADO,401-11,13.2,STR,4115987-5,4/16/2018,3F,5045,APARTADO
4115988,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,25,4115988,720570.993,1363768.876,,7.87798,-76.61058,12/6/2007,3/3/2020,URBANO,47632738,51141464,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4115988-5,4/16/2018,1F,5045,APARTADO
4115989,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,25,4115989,720573.396,1363768.253,,7.87798,-76.61058,12/6/2007,3/3/2020,URBANO,47632738,51141465,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115989-5,4/16/2018,1F,5045,APARTADO
4115991,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,25,4115991,720781.308,1363993.566,,7.88001,-76.6087,12/6/2007,7/7/2018,URBANO,47674137,51141429,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115991-5,4/16/2018,1F,5045,APARTADO
4115997,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4115997,720121.17,1368973.109,,7.92496,-76.61496,12/6/2007,7/7/2018,RURAL,47632670,53150172,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,7.621,T,4115997-5,4/16/2018,1F,5045,APARTADO
4115998,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,S,25,4115998,719379.739,1368726.715,,7.92212,-76.62164,12/6/2007,7/7/2018,RURAL,57667222,57667226,CLOSED,PRIMARIA,APARTADO,401-11,7.621,S,4115998-5,4/16/2018,1F,5045,APARTADO
4115999,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,STR,10,4115999,719036.885,1367324.865,,7.91001,-76.62469,12/6/2007,7/7/2018,RURAL,47632558,53150236,CLOSED,PRIMARIA,APARTADO,401-11,13.2,STR,4115999-5,4/16/2018,3F,5045,APARTADO
4116000,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,10,4116000,719000.093,1367258.683,,7.90941,-76.62502,12/6/2007,3/27/2020,RURAL,47632556,51141704,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4116000-5,4/16/2018,1F,5045,APARTADO
4116002,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4116002,718754.079,1366392.366,,7.90157,-76.6272,12/6/2007,7/7/2018,RURAL,47632527,57390150,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116002-5,4/16/2018,1F,5045,APARTADO
4116003,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RTS,40,4116003,718655.908,1366013.855,,7.89814,-76.62807,12/6/2007,7/7/2018,RURAL,47632520,53150138,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RTS,4116003-5,4/16/2018,3F,5045,APARTADO
4116007,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4116007,719667.641,1365551.306,,7.89402,-76.61888,12/6/2007,7/7/2018,RURAL,51141675,51141677,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116007-5,4/16/2018,1F,5045,APARTADO
4116008,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,25,4116008,720691.717,1363664.715,,7.87704,-76.6095,12/6/2007,7/7/2018,URBANO,47632769,51143490,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116008-5,4/16/2018,1F,5045,APARTADO
4116009,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RST,25,4116009,720740.238,1363828.241,,7.87852,-76.60907,12/6/2007,7/7/2018,URBANO,47632784,51141486,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RST,4116009-5,4/16/2018,3F,5045,APARTADO
4116012,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,13.2,RST,6,4116012,714876.901,1365556.997,,7.89381,-76.66228,12/6/2007,10/18/2019,RURAL,51141800,51141801,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,RST,4116012-5,4/16/2018,3F,5045,TURBO
4116013,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,13.2,TSR,6,4116013,716250.784,1366009.844,,7.89797,-76.64986,12/6/2007,10/18/2019,RURAL,57299081,53147414,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,TSR,4116013-5,4/16/2018,3F,5045,TURBO
4116014,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,DE REPETICION,PRIMARIA,13.2,RST,40,4116014,714212.563,1365598.812,,7.89415,-76.6683,12/6/2007,10/18/2019,RURAL,57488437,57488438,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,RST,4116014-5,4/16/2018,3F,5045,TURBO
4116016,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,13.2,RST,,4116016,711655.845,1366114.002,,7.89866,-76.69149,12/6/2007,10/18/2019,RURAL,51141790,51141791,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,13.2,RST,4116016-5,4/16/2018,3F,5045,TURBO
4116019,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,25,4116019,720711.208,1364004.545,,7.88011,-76.60934,12/6/2007,7/7/2018,URBANO,47632774,51141391,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4116019-5,4/16/2018,1F,5045,APARTADO
4116020,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,25,4116020,720560.944,1364021.845,,7.88025,-76.6107,12/6/2007,7/7/2018,URBANO,47632736,51141405,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116020-5,4/16/2018,1F,5045,APARTADO
4116021,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,25,4116021,720476.163,1364030.727,,7.88034,-76.61145,12/6/2007,7/7/2018,URBANO,47632713,51141400,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4116021-5,4/16/2018,1F,5045,APARTADO
4116022,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,40,4116022,720384.925,1364044.019,,7.88045,-76.6123,12/6/2007,7/7/2018,URBANO,57832337,51141395,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4116022-5,4/16/2018,1F,5045,APARTADO
4116024,REGIONAL,ANTIOQUIA,APARTADÓ,APARTADÓ,POLICARPA,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,15,4116024,720660.995,1363626.134,,7.87668,-76.60974,12/6/2007,7/7/2018,URBANO,47632761,51141383,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116024-5,4/16/2018,1F,5045,APARTADO
4116025,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4116025,720631.878,1363522.704,,7.87575,-76.61003,12/6/2007,7/7/2018,URBANO,47632752,51141382,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,4116025-5,4/16/2018,1F,5045,APARTADO
4116026,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,7.621,R,25,4116026,720667.626,1363597.243,,7.87643,-76.60971,12/6/2007,7/7/2018,URBANO,47632762,51141378,CLOSED,PRIMARIA,APARTADO,401-11,7.621,R,4116026-5,4/16/2018,1F,5045,APARTADO
4116029,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4116029,710001.909,1363920.161,,7.87875,-76.70635,12/6/2007,10/18/2019,RURAL,47632292,53150098,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,7.621,R,4116029-5,4/16/2018,1F,5045,TURBO
4116032,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,T,10,4116032,710607.311,1365599.564,,7.89395,-76.70096,12/6/2007,10/18/2019,RURAL,47632334,51141624,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,7.621,T,4116032-5,4/16/2018,1F,5045,TURBO
4116036,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RTS,10,4116036,718045.357,1365159.82,,7.8904,-76.63355,12/6/2007,7/7/2018,URBANO,57404758,57404778,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RTS,4116036-5,4/16/2018,3F,5045,APARTADO
