,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
180,APARTADÓ,3,Turbo TyD,Daños Energía,16,5,2019-03-16,1
182,APARTADÓ,3,Turbo TyD,Daños Energía,25,0,2019-03-25,1
183,APARTADÓ,3,Turbo TyD,Daños Energía,30,5,2019-03-30,1
184,APARTADÓ,3,Turbo TyD,Mantenimiento Energía,7,3,2019-03-07,1
185,APARTADÓ,3,Turbo TyD,Mantenimiento Energía,22,4,2019-03-22,2
186,APARTADÓ,3,Turbo TyD,Mantenimiento Energía,27,2,2019-03-27,1
187,APARTADÓ,4,Apartado TyD,Daños Energía,1,0,2019-04-01,16
188,APARTADÓ,4,Apartado TyD,Daños Energía,2,1,2019-04-02,23
189,APARTADÓ,4,Apartado TyD,Daños Energía,3,2,2019-04-03,10
190,APARTADÓ,4,Apartado TyD,Daños Energía,4,3,2019-04-04,9
191,APARTADÓ,4,Apartado TyD,Daños Energía,5,4,2019-04-05,12
192,APARTADÓ,4,Apartado TyD,Daños Energía,6,5,2019-04-06,9
193,APARTADÓ,4,Apartado TyD,Daños Energía,7,6,2019-04-07,2
195,APARTADÓ,4,Apartado TyD,Daños Energía,9,1,2019-04-09,9
196,APARTADÓ,4,Apartado TyD,Daños Energía,10,2,2019-04-10,10
197,APARTADÓ,4,Apartado TyD,Daños Energía,11,3,2019-04-11,12
198,APARTADÓ,4,Apartado TyD,Daños Energía,12,4,2019-04-12,2
199,APARTADÓ,4,Apartado TyD,Daños Energía,13,5,2019-04-13,6
200,APARTADÓ,4,Apartado TyD,Daños Energía,14,6,2019-04-14,11
203,APARTADÓ,4,Apartado TyD,Daños Energía,17,2,2019-04-17,9
205,APARTADÓ,4,Apartado TyD,Daños Energía,19,4,2019-04-19,2
206,APARTADÓ,4,Apartado TyD,Daños Energía,20,5,2019-04-20,30
208,APARTADÓ,4,Apartado TyD,Daños Energía,22,0,2019-04-22,25
209,APARTADÓ,4,Apartado TyD,Daños Energía,23,1,2019-04-23,17
210,APARTADÓ,4,Apartado TyD,Daños Energía,24,2,2019-04-24,12
211,APARTADÓ,4,Apartado TyD,Daños Energía,25,3,2019-04-25,7
212,APARTADÓ,4,Apartado TyD,Daños Energía,26,4,2019-04-26,5
213,APARTADÓ,4,Apartado TyD,Daños Energía,27,5,2019-04-27,8
215,APARTADÓ,4,Apartado TyD,Daños Energía,29,0,2019-04-29,19
217,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,2,1,2019-04-02,6
219,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,5,4,2019-04-05,11
220,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,8,0,2019-04-08,6
221,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,9,1,2019-04-09,13
223,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,12,4,2019-04-12,5
224,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,14,6,2019-04-14,2
225,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,15,0,2019-04-15,5
226,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,16,1,2019-04-16,1
227,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,17,2,2019-04-17,4
